person_id,era_from,era_to,                                               
1,-540,-509,
2,-550,-450,
3,-550,-503,
4,-550,-509,
5,-550,-450,
6,-550,-450,
7,-550,-425,
8,-550,-450,
9,-550,-450,
10,-550,-450,
11,-550,-499,
12,-550,-425,
13,-550,-499,
14,-550,-450,
15,-550,-425,
16,-550,-450,
17,-550,-425,
18,-550,-493,
19,-550,-425,
20,-550,-485,
21,-550,-425,
22,-550,-450,
23,-550,-463,
24,-550,-450,
25,-550,-425,
27,-550,-425,
28,-550,-425,
29,-550,-425,
30,-550,-425,
31,-550,-425,
32,-550,-425,
33,-550,-425,
34,-550,-425,
35,-525,-425,
36,-525,-425,
37,-525,-463,
38,-525,-425,
39,-525,-425,
40,-525,-425,
41,-525,-425,
42,-525,-425,
43,-525,-425,
44,-525,-425,
46,-525,-425,
47,-525,-400,
48,-525,-425,
49,-525,-425,
50,-525,-425,
51,-525,-460,
52,-525,-425,
53,-525,-425,
55,-525,-425,
56,-525,-425,
57,-525,-425,
58,-525,-425,
59,-525,-425,
60,-525,-425,
61,-525,-425,
62,-525,-425,
63,-525,-425,
64,-525,-425,
65,-525,-425,
67,-525,-425,
69,-525,-425,
76,-500,-453,
77,-525,-480,
78,-525,-425,
79,-525,-400,
80,-525,-400,
82,-525,-477,
83,-525,-425,
84,-500,-483,
85,-525,-375,
86,-525,-425,
87,-525,-425,
88,-525,-480,
89,-525,-425,
90,-525,-425,
91,-510,-463,
92,-525,-478,
96,-525,-476,
97,-525,-425,
98,-525,-425,
99,-525,-425,
100,-525,-425,
101,-525,-400,
102,-525,-425,
103,-525,-425,
104,-525,-400,
105,-525,-400,
106,-525,-400,
107,-525,-400,
108,-525,-473,
109,-525,-400,
110,-525,-464,
111,-525,-400,
112,-500,-472,
113,-525,-449,
114,-525,-375,
115,-525,-400,
116,-525,-400,
117,-525,-375,
118,-525,-400,
119,-525,-400,
120,-525,-400,
121,-500,-400,
122,-500,-400,
123,-500,-400,
124,-500,-375,
125,-525,-439,
126,-525,-400,
127,-500,-453,
129,-500,-463,
130,-500,-463,
131,-500,-400,
132,-500,-463,
133,-500,-400,
134,-500,-400,
135,-500,-400,
136,-500,-400,
137,-500,-400,
138,-500,-375,
139,-500,-400,
140,-500,-400,
141,-500,-460,
142,-519,-375,
143,-500,-400,
144,-500,-400,
145,-500,-400,
146,-500,-458,
147,-500,-375,
148,-500,-400,
149,-500,-400,
151,-500,-400,
152,-500,-400,
153,-500,-400,
154,-500,-375,
155,-500,-400,
156,-500,-400,
157,-500,-400,
158,-500,-375,
159,-500,-400,
160,-500,-400,
161,-514,-449,
163,-500,-453,
164,-500,-400,
165,-510,-453,
166,-500,-375,
168,-500,-400,
169,-500,-400,
170,-500,-400,
172,-500,-400,
173,-500,-375,
174,-500,-375,
175,-500,-375,
176,-500,-375,
177,-500,-375,
178,-500,-449,
179,-500,-375,
180,-480,-375,
181,-500,-375,
182,-500,-375,
183,-500,-375,
184,-500,-375,
185,-500,-375,
186,-500,-375,
187,-500,-375,
188,-500,-375,
189,-500,-375,
191,-500,-375,
192,-500,-375,
193,-500,-375,
194,-500,-375,
195,-500,-375,
196,-500,-375,
197,-500,-375,
198,-500,-375,
199,-500,-375,
200,-500,-375,
201,-500,-375,
203,-500,-375,
205,-500,-375,
206,-500,-375,
207,-500,-375,
208,-500,-375,
209,-475,-375,
210,-475,-375,
211,-475,-375,
212,-475,-350,
213,-475,-375,
214,-475,-375,
215,-475,-375,
216,-475,-375,
218,-475,-375,
219,-475,-375,
220,-500,-375,
222,-475,-375,
223,-475,-375,
224,-475,-375,
226,-475,-375,
227,-475,-375,
228,-475,-375,
229,-475,-375,
231,-475,-350,
233,-475,-438,
234,-475,-438,
235,-475,-438,
236,-475,-438,
237,-475,-350,
238,-475,-375,
239,-475,-375,
240,-475,-375,
241,-475,-375,
242,-475,-375,
243,-475,-375,
244,-475,-390,
245,-475,-375,
246,-475,-375,
247,-475,-375,
249,-475,-375,
251,-475,-375,
252,-475,-325,
254,-475,-350,
255,-475,-375,
258,-510,-439,
260,-475,-375,
261,-475,-375,
262,-475,-375,
263,-475,-375,
264,-475,-375,
266,-475,-350,
267,-475,-350,
268,-475,-375,
269,-475,-350,
270,-475,-375,
271,-475,-350,
272,-475,-350,
273,-475,-350,
274,-475,-350,
275,-475,-350,
276,-475,-350,
277,-475,-350,
278,-475,-350,
279,-475,-350,
280,-475,-350,
281,-475,-350,
282,-475,-350,
283,-475,-350,
285,-475,-350,
286,-475,-350,
287,-475,-350,
288,-475,-350,
289,-475,-350,
290,-475,-350,
291,-475,-350,
292,-475,-350,
293,-450,-350,
294,-450,-350,
295,-450,-350,
296,-450,-350,
297,-450,-350,
298,-450,-350,
299,-450,-350,
300,-450,-350,
301,-450,-325,
303,-450,-350,
304,-450,-350,
305,-450,-350,
306,-450,-325,
307,-450,-414,
308,-450,-350,
309,-450,-414,
310,-450,-350,
311,-475,-350,
312,-450,-350,
313,-450,-350,
314,-450,-350,
316,-450,-350,
317,-450,-350,
319,-450,-350,
320,-450,-350,
321,-450,-350,
322,-450,-325,
323,-450,-350,
324,-450,-350,
325,-450,-393,
326,-450,-350,
327,-450,-350,
328,-450,-350,
329,-475,-350,
330,-450,-325,
332,-450,-325,
333,-450,-350,
334,-450,-350,
335,-450,-349,
336,-450,-350,
337,-450,-350,
338,-450,-325,
340,-448,-365,
341,-450,-350,
342,-450,-325,
343,-450,-350,
344,-450,-325,
345,-450,-350,
346,-450,-350,
347,-450,-325,
348,-450,-350,
349,-450,-350,
350,-450,-350,
351,-450,-350,
352,-450,-350,
353,-450,-350,
354,-450,-325,
355,-450,-350,
356,-450,-325,
357,-450,-325,
358,-450,-350,
359,-450,-350,
360,-450,-396,
361,-450,-325,
362,-450,-325,
363,-450,-325,
364,-450,-325,
365,-450,-325,
366,-450,-325,
367,-450,-325,
368,-450,-325,
371,-450,-325,
372,-450,-325,
373,-450,-325,
374,-450,-325,
375,-450,-325,
376,-450,-325,
378,-450,-325,
379,-450,-325,
380,-425,-325,
381,-425,-325,
382,-425,-380,
383,-425,-325,
384,-425,-325,
385,-450,-325,
387,-425,-325,
388,-425,-325,
389,-425,-325,
390,-425,-325,
391,-425,-384,
393,-425,-325,
394,-425,-325,
395,-425,-325,
396,-425,-389,
400,-450,-325,
401,-425,-325,
402,-450,-390,
403,-425,-325,
405,-425,-325,
406,-425,-300,
407,-425,-325,
408,-425,-325,
409,-425,-325,
410,-425,-325,
411,-425,-325,
413,-425,-325,
414,-409,-275,
415,-450,-325,
416,-425,-325,
417,-425,-325,
418,-425,-325,
419,-425,-325,
420,-425,-325,
421,-425,-325,
422,-425,-325,
423,-425,-325,
424,-425,-325,
425,-425,-325,
426,-425,-300,
427,-425,-325,
428,-425,-325,
429,-425,-275,
430,-425,-325,
432,-425,-325,
433,-425,-325,
434,-425,-325,
435,-425,-325,
436,-425,-325,
437,-425,-325,
438,-425,-325,
440,-425,-300,
441,-425,-325,
442,-425,-325,
443,-425,-300,
444,-425,-300,
445,-425,-300,
446,-425,-325,
448,-425,-325,
449,-425,-325,
450,-425,-300,
451,-425,-325,
452,-425,-325,
453,-425,-325,
454,-425,-325,
455,-425,-325,
456,-425,-325,
457,-425,-325,
458,-425,-325,
459,-425,-325,
460,-425,-325,
461,-425,-325,
462,-425,-325,
464,-425,-300,
465,-425,-300,
466,-425,-325,
468,-400,-300,
469,-400,-300,
471,-425,-300,
473,-400,-300,
474,-400,-300,
475,-400,-300,
476,-400,-300,
477,-400,-300,
478,-400,-300,
479,-400,-300,
481,-400,-300,
482,-400,-300,
483,-400,-275,
484,-425,-300,
485,-400,-365,
486,-400,-300,
487,-400,-275,
489,-400,-362,
490,-400,-275,
491,-392,-275,
492,-400,-300,
493,-400,-300,
494,-400,-275,
495,-400,-300,
496,-400,-300,
497,-380,-250,
498,-400,-250,
499,-400,-275,
500,-400,-275,
501,-400,-300,
502,-400,-300,
503,-400,-300,
505,-400,-275,
506,-400,-300,
507,-400,-300,
510,-378,-250,
511,-400,-275,
512,-400,-300,
513,-385,-275,
514,-400,-300,
515,-377,-340,
516,-400,-300,
517,-377,-250,
519,-391,-275,
520,-400,-275,
521,-400,-275,
522,-371,-225,
523,-400,-275,
524,-400,-275,
525,-400,-275,
526,-400,-275,
528,-375,-250,
529,-375,-250,
530,-375,-275,
531,-375,-275,
533,-370,-275,
534,-364,-250,
536,-375,-340,
537,-375,-275,
538,-377,-275,
539,-363,-250,
540,-375,-250,
541,-375,-250,
542,-450,-250,
543,-375,-275,
544,-375,-275,
545,-350,-337,
546,-375,-275,
547,-375,-275,
548,-375,-300,
549,-375,-300,
550,-375,-275,
551,-375,-275,
552,-375,-275,
553,-375,-275,
555,-325,-254,
556,-375,-275,
557,-375,-275,
559,-355,-225,
560,-369,-250,
561,-375,-275,
562,-375,-275,
563,-375,-301,
564,-375,-275,
565,-375,-250,
566,-375,-250,
568,-375,-275,
569,-375,-275,
570,-375,-271,
571,-375,-315,
572,-356,-250,
576,-375,-250,
577,-375,-250,
578,-375,-250,
579,-375,-250,
580,-375,-250,
581,-375,-250,
582,-375,-250,
583,-350,-250,
584,-350,-250,
585,-375,-250,
586,-350,-250,
587,-350,-250,
588,-350,-250,
589,-350,-250,
590,-350,-250,
591,-341,-225,
592,-350,-250,
593,-350,-250,
594,-350,-250,
595,-350,-250,
596,-340,-295,
597,-350,-250,
598,-350,-250,
599,-350,-250,
600,-350,-250,
601,-340,-260,
602,-350,-250,
603,-334,-225,
604,-350,-250,
605,-350,-250,
606,-350,-250,
607,-350,-250,
608,-350,-225,
609,-350,-225,
610,-350,-225,
611,-350,-225,
612,-375,-250,
613,-350,-250,
614,-350,-305,
615,-338,-250,
616,-350,-250,
617,-350,-225,
619,-350,-250,
621,-350,-250,
622,-350,-250,
623,-350,-250,
624,-375,-294,
625,-350,-250,
626,-350,-250,
628,-350,-225,
629,-350,-200,
630,-350,-250,
631,-350,-225,
632,-325,-200,
633,-325,-301,
634,-350,-250,
635,-350,-250,
636,-350,-225,
637,-350,-299,
638,-331,-225,
639,-350,-225,
640,-324,-200,
641,-324,-270,
642,-320,-200,
644,-350,-225,
645,-350,-225,
646,-350,-225,
647,-325,-225,
648,-325,-294,
649,-325,-200,
650,-325,-225,
651,-325,-225,
652,-325,-225,
653,-325,-225,
654,-325,-225,
655,-325,-225,
656,-325,-225,
657,-325,-225,
658,-320,-275,
659,-325,-225,
660,-325,-225,
661,-325,-225,
662,-325,-225,
663,-325,-225,
664,-325,-287,
665,-325,-225,
666,-325,-225,
667,-350,-150,
668,-325,-200,
669,-325,-225,
670,-325,-225,
671,-325,-225,
672,-325,-225,
673,-341,-283,
674,-325,-282,
675,-314,-225,
676,-325,-225,
677,-325,-182,
678,-325,-225,
679,-325,-282,
680,-325,-200,
681,-325,-200,
682,-325,-280,
683,-311,-243,
684,-325,-225,
685,-325,-279,
686,-325,-225,
687,-325,-200,
688,-325,-225,
689,-325,-200,
690,-325,-250,
691,-325,-200,
692,-299,-200,
693,-300,-273,
695,-325,-272,
696,-325,-200,
697,-325,-200,
698,-300,-175,
699,-295,-175,
700,-302,-200,
701,-300,-200,
702,-300,-268,
703,-300,-250,
704,-300,-200,
705,-300,-250,
706,-300,-250,
707,-300,-200,
709,-300,-265,
710,-297,-200,
712,-279,-203,
713,-300,-200,
714,-300,-200,
715,-300,-200,
716,-300,-175,
718,-300,-253,
719,-294,-200,
720,-300,-200,
721,-300,-200,
722,-300,-200,
723,-300,-260,
724,-300,-175,
725,-300,-200,
726,-300,-200,
727,-295,-175,
728,-300,-200,
729,-300,-200,
730,-300,-200,
731,-300,-200,
732,-300,-200,
733,-300,-200,
734,-300,-200,
735,-300,-256,
736,-300,-200,
737,-300,-200,
738,-300,-200,
739,-300,-200,
740,-310,-200,
742,-300,-200,
743,-300,-175,
744,-283,-246,
745,-300,-200,
746,-300,-175,
747,-300,-175,
748,-300,-200,
749,-300,-200,
750,-300,-200,
751,-300,-221,
752,-325,-200,
753,-300,-249,
754,-300,-175,
755,-273,-175,
756,-300,-175,
757,-280,-150,
758,-299,-150,
759,-300,-175,
760,-300,-175,
761,-273,-175,
762,-278,-150,
763,-275,-175,
764,-275,-175,
765,-275,-175,
766,-275,-215,
767,-275,-175,
768,-274,-236,
769,-275,-175,
770,-275,-175,
771,-264,-175,
772,-275,-175,
773,-275,-175,
774,-275,-175,
776,-274,-150,
777,-275,-175,
778,-273,-175,
779,-275,-175,
780,-279,-213,
781,-270,-150,
782,-275,-175,
783,-275,-175,
784,-275,-236,
785,-250,-211,
786,-300,-175,
787,-279,-202,
788,-275,-216,
789,-272,-211,
790,-275,-234,
