id,name,highest_office
1,"L. Iunius (46a, Supb. 5.356ff.) M. f.  Brutus",cos. 509
2,L. Tarquinius (8) Egeri f. Collatinus,cos. 509
3,P. Valerius (302) Volusi f. - n. Poplicola,cos. suff. 509
4,Sp. Lucretius (30) T. ? f. - n. Tricipitinus,cos. suff. 509
5,M. Horatius (15) M. f. - n. Pulvillus,cos. suff. 509
6,"M. Minucius (17, cf. 32) (Augurinus)?",q. 509
7,P. (or C.) Veturius (16) Geminus  Cicurinus,cos. 499
8,C. Papirius (10),pont. 509
9,"M'. Papirius (20, cf. 1-5)",rex. sacr. 509
10,T. Lucretius (31) T. f.  Tricipitinus,cos. 508
11,T. Herminius (2) Aquilinus,cos. 506
12,Sp. Larcius (4) Rufus or Flavus ?,cos. 506
13,M. Valerius (74) Volusi f. (Volusus)?,cos. 505
14,P. Lucretius (11),cos. before 505
15,P. Postumius (64) Q. f. - n. Tubertus,cos. 505
16,-. Postumius (*3) Balbus (Regillus)?,tr. mil. 504
17,T. Larcius (2) Flavus or Rufus?,cos. 501
18,Agr. Menenius (12) C. f. - n. Lanatus,cos. 503
19,Opet. Verginius (17) Opit. f.  Tricostus,cos. 502
20,Sp. Cassius (91) Vecellinus,cos. 502
21,Post. Cominius (16) Auruncus,cos. 501
22,M'. Valerius (65) M. f. Volesi n.,son of M. Valerius (74) Volusi f. (Volusus)?
23,Ser. Sulpicius (35) P. f. - n. Camerinus Cornutus,cos. 500
24,M'. Tullius (41) Longus,cos. 500
25,T. Aebutius (15) T. f. - n. Helva,cos. 499
27,A. Postumius (*3) P. f.  Albus Regillensis,cos. 496
28,A. Sempronius (20) Atratinus,cos. 497
29,Q. Cloelius (10) Siculus,cos. 498
30,M. Minucius (32) Augurinus,cos. 497
31,T. Verginius (21) A. f.  Tricostus Caeliomontanus,cos. 496
32,Ap. Claudius (321) M. f. Sabinus Inregillensis,cos. 495
33,P. Servilius (76) P. f. - n. Priscus Structus,cos. 495
34,M. Laetorius (8),X vir s. f. before 494
35,A. Verginius (11) A. f.  Tricostus Caeliomontanus,cos. 494
36,T. Veturius (17) Geminus Cicurinus,cos. 494
37,M'. Valerius (243) Volesi f.  Maximus,son of -. Valerius (89)
38,Q. Servilius (27) Priscus Structus,mag. eq. 494
39,L. Albinius (4) C. f. Paterculus,tr. pl. 493
40,L. Iunius (47) Brutus,aed. pl. 492
41,C. Licinius (11),tr. pl. 493
42,P. Licinius (25),tr. pl. 493
43,L. Sicinius (4) L. f. Vellutus (Bellutus),aed. pl. 492
44,C. Viscellius (or Visellius)? (Icilius 5) Ruga,aed. pl. 491
46,M. Decius (7),tr. pl. 491
47,Sp. Icilius (5),tr. pl. 470
48,T. Geganius (7) Macerinus,cos. 492
49,P. Minucius (33) Augurinus,cos. 492
50,Sp. Sicinius (not in RE),tr. pl. 492
51,P. Valerius (301) P. f. Volsi. n. Poplicola,cos. 475
52,L. Geganius (1),brother of T. Geganius (7) Macerinus
53,T. Iunius (55) Brutus,aed. pl. 491
55,Q. Sulpicius (33) Camerinus Cornutus,cos. 490
56,C. Iulius (293) C. f. - n. Iullus,cos. 489
57,P. Pinarius (13) Mamertinus Rufus,cos. 489
58,Sp. Nautius (8) Sp. ? f. - n. Rutilus,cos. 488
59,Sex. Furius (26) (Medullinus)? (Fusus)?,cos. 488
60,Valeria (385),daughter of -. Valerius (89)
61,"T. Sicinius (13, cf. Siccius 2) (Sabinus)?",cos. 487
62,C. Aquillius (8) (Tuscus)?,cos. 487
63,Proc. Verginius (19) Opet.? f. Opet. n. Tricostus Rutilus,cos. 486
64,C. Rabuleius (1),tr. pl. 486
65,P. Mucius (7) Scaevola,tr. pl. before 485
67,M. (Valerius) (cf. 65) Laevinus,tr. mil.? 486
69,"M'. Tullius (53, cf. 41) Tolerinus",tr. mil.? 486
76,Ser. Cornelius (253) Maluginensis Tricostus,cos. 485
77,"Q. Fabius (164, cf. 159) K. f.  Vibulanus",cos. 485
78,K. Fabius (159) K. f. Vibulanus,cos. 484
79,L. Valerius (380) M. f. Volusi n. Potitus Potitus,cos. 483
80,L. Aemilius (96) Mam. f. - n. Mamercus,cos. 484
82,"M. Fabius (160, cf. 159) K. f. - n. Vibulanus",cos. 483
83,C. Maenius (8),tr. pl. 483
84,"Oppia (36, cf. Opimia 13)",Vestal. 483
85,C. Iulius (294) C. f. L. n. Iullus,cos. 482
86,Sp. Furius (70) Fusus,cos. 481
87,"Sp. Licinius (31, cf. Icilius 5)",tr. pl. 481
88,Cn. Manlius (19) P. f. - n. Cincinnatus,cos. 480
89,Ti. Pontificius (Pontificius),tr. pl. 480
90,"T. Siccius (2, cf. Sicinius 13)",leg. lieut. 479
91,T. Verginius (22) Opet. f. Opet. n. Tricostus Rutilus,cos. 479
92,C. Servilius (87) Structus Ahala,cos. 478
96,T. Menenius (17) Agrippae f. C. n. Lanatus,cos. 477
97,A. Verginius (12) (Opet. ? f. Opet. n.) Tricostus Rutilus,cos. 476
98,Sp. Servilius (85) (P. ? f. - n.) Structus,cos. 476
99,Q. Considius (6),tr. pl. 476
100,T. Genucius (8),tr. pl. 476
101,C. Nautius (5) Sp. f. Sp. n. Rutilus,cos. 475
102,L. Caedicius (3),tr. pl. 475
103,T. Statius (4),tr. pl. 475
104,L. Furius (64) Medullinus,cos. 474
105,A. Manlius (89) (Cn. f. P. n.) Vulso,cos. 474
106,Vop. Iulius (301) C. f. L. n. Iullus,cos. 473
