Date,                  Page,       Note Ref,   Assertion Type,         Praenomen,      Nomen,                RE,                       Filiation,                       Cognomen,                        Patrician,    Certainty,    Consular Ancestor,      Certainty,   Calculated Father,           Suggested Father,                                                                       Certainty,      Calculated Grandfather,                 Suggested Grandfather,                                              Certainty,      Brother,                                                            Certainty,      More Remote,                                                        Certainty,      Novus,              Novus Certainty     
366,725,        ,           ,                      Sp,             Furius,48,                      M.f. L.n.,                       Camillus,                       Patrician,    Certain,     Yes,                    Certain,     M. Furius,                  M. Furius (44) Camillus,                                                               Certain,        L. Furius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
336,725,        ,           ,                      Q,              Publilius,11,                      Q.f. Q.n.,                       Philo,                          ,             ,            ,                       ,            Q. Publilius,               ,                                                                                      ,               Q. Publilius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
350,725,        ,           ,                      P,              Valerius,300,                     P.f. L.n.,                       Poplicola,                      Patrician,    Certain,     Yes,                    Certain,     P. Valerius,                ,                                                                                      ,               L. Valerius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
349,725,1,          ,                      L,              Pinarius,18,                      ,                                (?Natta) ,                      Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               L. Pinarius (12) Rufus,                                            ,               ,
341,725,2,          ,                      T(?),           Aemilius,100,                     ,                                (?Mamercinus) ,                 Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,"               T. (or Ti,) Aemilius (99) Mamercus",                                Certain,        ,
340,725,        ,           ,                      L,              Papirius,45,                      L.f. L.n.,                       Crassus,                        Patrician,    Certain,     Yes,                    Certain,     L. Papirius,                ,                                                                                      ,               L. Papirius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
332,725,3,          ,                      L,              Papirius,"             16, cf. 46 and 52",       ,                                ,                               Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
322,725,        ,           ,                      L,              Plautius,             33 or 34,                (L.f. L.n.),                     Venno,                          ,             ,            ,                       ,            L. Plautius,"                L. Plautius (*5, 33) Venox",                                                            ,               L. Plautius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
318,725,        ,           ,                      L,              Furius,14,                      ,                                ,                               Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 308,725,        ,           ,                      M,              Valerius,137,                     M.f. M.n.,                       Maximus Corvus,                 Patrician,    Certain,     Yes,                    Certain,     M. Valerius,                ,                                                                                      ,               M. Valerius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 308,725,        ,           ,                      M,              Valerius,137,                     M.f. M.n.,                       Maximus Corvus,                 Patrician,    Certain,     Yes,                    Certain,     M. Valerius,                ,                                                                                      ,               M. Valerius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 308,725,        ,           ,                      M,              Valerius,137,                     M.f. M.n.,                       Maximus Corvus,                 Patrician,    Certain,     Yes,                    Certain,     M. Valerius,                ,                                                                                      ,               M. Valerius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
308,725,4,          ,                      M,              Valerius,137,                     M.f. M.n.,                       Maximus Corvus,                 Patrician,    Certain,     Yes,                    Certain,     M. Valerius,                ,                                                                                      ,               M. Valerius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
296,725,        ,           ,                      P,              Sempronius,85,                      P.f. C.n.,                       Sophus,                         ,             ,            ,                       ,            P. Sempronius,              ,                                                                                      ,               C. Sempronius,                          ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
295,725,5,          ,                      Ap,             Claudius,91,                      C.f. Ap.n.,                      Caecus,                         Patrician,    Certain,     Yes,                    Certain,     C. Claudius,                ,                                                                                      ,               Ap. Claudius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
293,725,        ,           ,                      M,              Atilius,50,                      M.f. M.n.,                       Regulus,                        ,             ,            ,                       ,            M. Atilius,                 M. Atilius (49) Regulus Calenus,                                                       ,               M. Atilius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
292,725,        ,           ,                      L,              Papirius,53,                      L.f. Sp.n.,                      Cursor,                         Patrician,    Certain,     Yes,                    Certain,     L. Papirius,                ,                                                                                      ,               Sp. Papirius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
283,725,6,          ,                      L,              Caecilius,92,                      ,                                Metellus Denter ,               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
283,725,6,          ,                      M',             Acilius,9,                       M_.f. M_.n.,                   Dentatus,                       ,             ,            ,                       ,            M_. Acilius,               ,                                                                                      ,               M_. Acilius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?280,725,7,          ,                      Q,              Marcius,78,                      Q.f. Q.n.,                       Philippus ,                     ,             ,            ,                       ,            Q. Marcius,                 ,                                                                                      ,               Q. Marcius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?273,725,8,          ,                      C,              Genucius,17,                      L.f. L.n.,                       Clepsina ,                      ,             ,            ,                       ,            L. Genucius,                ,                                                                                      ,               L. Genucius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
270,725,9,          ,                      ,               (Minucius?),2,                       ,                                ,                               ,             ,            Yes,                    Certain,     ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?by 268,725,10,         ,                      M,              Livius,"               12, 13",                  ,                                Drusus ,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
257,725,        ,           ,                      A,              Atilius,36,                      A.f. C.n.,                       Calatinus,                      ,             ,            ,                       ,            A. Atilius,                 ,                                                                                      ,               C. Atilius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
253,726,11,         ,                      L,              Postumius,56,                      L.f. L.n.,                       Megellus ,                      Patrician,    Certain,     Yes,                    Certain,     L. Postumius,               L. Postumius (*19) Megellus,                                                           ,               L. Postumius,                           L. Postumius (*19) Megellus,                                       ,               ,                                                                   ,               ,                                                                  ,               ,
242,726,        ,           ,                      Q,              Valerius,157,                     Q.f. P.n.,                       Falto,                          Patrician,    Certain,     ,                       ,            Q. Valerius,                ,                                                                                      ,               P. Valerius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
234,726,        ,           ,                      P,              Cornelius,42,                      ,                                ,                               Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
227,726,12,         ,                      C,              Flaminius,2,                       C.f. L.n.,                        ,                              ,             ,            ,                       ,            C. Flaminius,               ,                                                                                      ,               L. Flaminius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,
227,726,8,          ,                      M,              Valerius,             see 211,                 ,                                ,                               Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 220,726,8,          ,                      M,              Livius,33,                      M.f. M.n.,                       Salinator ,                     ,             ,            ,                       ,            M. Livius,                  ,                                                                                      ,               M. Livius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
219,726,13,         ,                      L,              Manlius,92,                      ,                                (Vulso) ,                       Patrician,    Certain,     Yes,                    Certain,     ,                           L. Manlius (101) Vulso Longus,                                                         Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
??before 218,726,20,         ,                      K,              Quinctius,41,                      ,                                Flamininus ,                    Patrician,    Certain,     Yes,                    Certain,     ,                           K. Quinctius (*19) Claudus,                                                            Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 218,726,16,         ,                      C?,             Aelius,"               103, cf. 148, 149",       ,                                Tubero ,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
