M.,Calpurnius?,not in *RE,12
,Pansa,Vibius *10,17
P.,Papius,Pupius*1,Papius 9
L.,Philo,Veturius *18,21
C.,Plautius,*10,9
C.,Plautius,*4,18
L.,Plautius,*7,19
L.,Plautius,*11?,20
M.,Plautius,*11,21
C.,Plautius,*1,27
C.,Plautius,*2,31
C.,Plautius,*5,32
L.,Plautius,*5,33
L.,Plautius,*2,34
A.,Pleminius,*1,2
M.,Plotius,*7,not in RE
Q.,Plotius,not in *RE,12
,Poetelius,"1, not in *RE",1
C.,Poetelius,not in *RE,see 7
P.,Poetelius,not in *RE,3
Q.,Poetelius,not in *RE,4
M.,Poetilius,not in *RE,6
C.,Poetilius,not in *RE,7
Q.,Pompaedius,not in *RE,22.81
A.,Pompeius,not in *RE,3
A.,Pompeius or Pomponius,not in *RE,See 26
Cn.,Pompeius,not in *RE,6?
Cn.,Pompeius,*28,7
L.,Pompeius,*1,10
M.,Pompeius,*24,11
Q.,Pompeius,*2,12
Sex.,Pompeius,not in *RE,17
Sex.,Pompeius,*20,19
T.,Pompeius,not in *RE,22
A.,Pompeius,*11,26
Q.,Pompeius,*7,25
Cn.,Pompeius,*15,31
Cn.,Pompeius,*17,32
Sex.,Pompeius,* 18,33
Q.,Pompeius,*4,39
Q.,Pompeius,*8,42
Q.,Pompeius,*9,41
Cn.,Pompeius,*14,45
Sex.,Pompilius,* 2,2
,Pomponius,not in *RE,not in RE
C.,Pomponius,not in *RE,not in RE
Cn.,Pomponius,not in *RE,3
M.,Pomponius,*1,6
M.,Pomponius,*4,8
M.,Pomponius,*8,?
M.,Pomponius,*13,9
M.,Pomponius,*18,25
M.,Pomponius,*20,"1, cf. 21 and Suppl"
M.,Pomponius,*21,10
M.,Pomponius,*23,11
Q.,Pomponius,*3,13
Sex.,Pomponius,*7,14
M'.,Pomponius,*5,17
M.,Pomponius,*6,18
M.,Pomponius,*9,20
M.,Pomponius,*12,19
M.,Pomponius,*2,7
T.,Pomponius,*II,27
A.,Pomponius,not in *RE,not in RE
C.,Pomptinius,*1,21.2421
C.,Pomptinus,Pontinius *1,1
Ti.,Pontificius,*5.1891,Pontificius
L.,Pontius,*12,17
C.,Popillius,not in *RE,17
C.,Popillius,*12?,2
C.,Popillius,*16,3
C.,Popillius,*15,5
M.,Popillius,*II,7 cf. 23
P.,Popillius,not in *RE,29
P.,Popillius,*17,10?
Q.,Popillius,not in *RE,30
T.,Popillius,*3,13
,Popillius,*9,22
,Popillius,*21,15
C.,Popillius,*7,18
C.,Popillius,*12,19
C.,Popillius,*22,16
M.,Popillius,*1,20
M.,Popillius,*2,21
M.,Popillius,*6,24
M.,Popillius,*9,22
P.,Popillius,*4,25
P.,Popillius,*5,26
P.,Popillius,*10,28
P.,Popillius,*14,27?
,Popillia,*18,34
,Porcius,not in *RE,see 16
,Porcius,see *20,see 16
,Porcius?,not in *RE,see 6
C.,Porcius,*15,5
C.,Porcius,*18,6
L.,Porcius,*16,7
M.,Porcius,*10,9
M.,Porcius,* 11,14
M.,Porcius,*13,10
M.,Porcius,*14,11
M.,Porcius,*17,12
M.,Porcius,*20,16
M.,Porcius,*22,13
M.,Porcius,*7,18
P.,Porcius,*6,19
L.,Porcius,*1,22
L.,Porcius,*2,23
L.,Porcius,*3,24
(A.,Postumius,*48,8 see 6
A.,Postumius,not in *RE,9
C.,Postumius,*31,10
L.,Postumius,not in *RE,13
L.,Postumius,*45,15 cf 26
L.,Postumius?,not in *RE,14
M.,Postumius,*8,17 see 50
M.,Postumius,*12,16
M.,Postumius,*47,19
Q.,Postumius,*51,21
S.,Postumius,not in *RE,24
,Postumius,*37,43
A.,Postumius,*21,30
A.,Postumius,*33,31
A.,Postumius,*36,33 = 32
L.,Postumius,see *20,39
L.,Postumius,*22,40
L.,Postumius,"*32, see *18",42
Sp.,Postumius,*25,44
Sp.,Postumius,*35,45
Sp.,Postumius,*17,"22.892, no. 1"
A.,Postumius,*26,46
Sp.,Postumius,*34,47
Sp.,Postumius,*28,49
A.,Postumius,*13,57
L.,Postumius,*15,58
M.,Postumius,"*8, *11",16
P.,Postumius,*10,51
Sp.,Postumius,*14,61
A.,Postumius,*3,63
A.,Postumius,*5,52a
Sp.,Postumius,*4,52b
Sp.,Postumius,*7,52
,Postumius,*3,"22.892, no. 1"
L.,Postumius,*19,55
L.,Postumius,*20,56
L.,Postumius,*27,62
A.,Postumius,*6,63?
P.,Postumius,*1,64
L.,Postumius,*24,65
Postumia.,Postumius,*9,66
L.,Precilius,not in *RE,not in RE
L.,Procilius,"not in *RE, see *1",1
L.,Procilius,*1,1
,Publicius,not in *RE,?
M.,Publicius,*20,12
Q.,Publicius,*16,13
C.,Publicius,*5,14 or 15
L.,Publicius,*4,16
C.,Publicius,*14,9
L.,Publicius,* 1,16a
M.,Publicius,"*2, *3",22
Q.,Publicius,not in *RE,13
M.,Publicius,not in *RE,23
,Publicia,*17,27
,Publilius?,not in *RE,2
,Publilius,not in *RE,1
C.,Publilius,*10,6
Q.,Publilius,*4,8
T.,Publilius,*8,9
Voler.,Publilius,*1,10
Q.,Publilius,*6,11
Voler.,Publilius,*3,399
L.,Publilius,*2,13
,Publilia,"not in *RE, see Publicia *7",16
,Publius,not in *RE,?
,Pullius,*1,1
,Pullius,not in *RE,2
C.,Pupius,*3,3
L.,Pupius,*4,5
M.,Pupius,not in *RE,7
P.,Pupius,*1,9
M.,Pupius,"*2,100, without number, Pupius *2",10
Q.,,not in *RE,not in RE
Sex.,Quinctilius,*1,15
L.,Qunictilius,*11,?
M.,Quinctilius,*2,9
P.,Quinctilius,*4,12
P.,Quinctilius,*6,13
Sex.,Quinctilius,not in *RE,16
Sex.,Quinctilius,*7,4
Sex.,Quinctilius,*10,17
T.,Quinctilius,*5,18?
D.,Quinctius,"*IV, 1",7
L.,Quinctius,"*IV, 4, see *5",12
T.,Quinctius,not in *RE,19
Cn.,Quinctius,Cap.*4,22
T.,Quinctius,Cap. *1,24
T.,Quinctius,Cap. *2,25
C.,Quinctius,Cin. *9,26
Q.,Quinctius,Cin. *8,31
L.,Quinctius,Cin. *1,26
L.,Quinctius,Cin. *3,28
Q.,Quinctius,Cin. *5,30
T.,Quinctius,"Cin. *7, see Cap. *3",32
T.,Quinctius,Cin. *10,33
T.,Quinctius,Cin. *4,34
K.,Quinctius,*19,36
L.,Quinctius,Cin. *13,37
T.,Quinctius,Cin. *12,38
T.,Quinctius?,not in *RE,39
C.,Quinctius,*5,40
K.,Quinctius Flamininus,*1,41
L.,Quinctius,*4,43
T.,Quinctius,*3,45
T.,Quinctius,*6,46
T.,Quinctius,*7,47
T.,Quinctius,Cap. *11,35
L.,Quintius,not in *RE,13
M.,Quintius,not in *RE,51
Quintus.,,not in *.RE,not in RE
C.,Salonius,*2,not in RE?
P.,Salonius,*1,not in RE?
