P.,Papius,Pupius *1,Papius 9
L.,Philo,Veturius *18,21
C.,Plautius,*10,9
C.,Plautius,*4,18
L.,Plautius,*7,19
L.,Plautius,*11 ?,20
M.,Plautius,*11,21
C.,Plautius,*1,27
C.,Plautius,*2,31
C.,Plautius,*5,32
L.,Plautius,*5,33
L.,Plautius,*2,34
M.,Plotius,*7,not in RE
Q.,Plotius,not in *RE,12
,Poetilius,not in RE,1
,Poetilius,not in *RE,1
C.,Poetelius,not in *RE,see 7
P.,Poetilius,not in *RE,3
Q.,Poetelius,not in *RE,4
M.,Poetelius,not in *RE,6
C.,Poetilius,not in *RE,7
Q.,Pompaedius,not in *RE,22.81
A.,Pompeius,*6,3
Cn.,Pompeius,*28,7
L.,Pompeius,*1,10
M.,Pompeius,*24,11
Q.,Pompeius,*2,12
Sex.,Pompeius,not in *RE,17
A.,Pompeius,*11,26
Q.,Pompeius,*7,25
Cn.,Pompeius,*15,31
Cn.,Pompeius,*17,32
Sex.,Pompeius,*18,33
Q.,Pompeius,*4,39
Q.,Pompeius,*8,42
Q.,Pompeius,*9,41
Cn.,Pompeius,*14,45
Sex.,Pompilius,*2,2
,Pomponius,?,not in RE
M.,Pomponius,*1,6
M.,Pomponius,*4,8
M.,Pomponius,*8,?
M.,Pomponius,*13,9
M.,Pomponius,*18,25
M.,Pomponius,*20,"1, cf. 21 and Suppl"
M.,Pomponius,*21,10
M.,Pomponius,*23,11
Q.,Pomponius,*3,13
Sex.,Pomponius,*7,14
M'.,Pomponius,*5,17
M.,Pomponius,*6,18
M.,Pomponius,*9,20
M.,Pomponius,*12,19
M.,Pomponius,*2,7
T.,Pomponius,*11,27
A.,Pomponius,not in *RE,not in RE
C.,Pomptinius,*1,21.2421
C.,Pomptinus,Pontinius *1,1
Ti.,Pontificius,*5.1891,Pontificius
L.,Pontius,*12,17
C.,Popillius,not in *RE,17
C.,Popillius,*12?,2
C.,Popillius,*15,5
T.,Popillius,*3,13
C.,Popillius,*7,18
C.,Popillius,*12,19
C.,Popillius,*22,16
M.,Popillius,*1,20
M.,Popillius,*2,21
M.,Popillius,*6,24
M.,Popillius,*9,22
P.,Popillius,*4,25
P.,Popillius,*5,26
P.,Popillius,*10,28
P.,Popillius,*14?,27?
,Popillia,* 18,34
C.,Porcius,*15,5
C.,Porcius,* 18,6
L.,Porcius,*16,7
M.,Porcius,*10,9
M.,Porcius,*11,14
M.,Porcius,*13,10
M.,Porcius,*14,11
M.,Porcius,*17,12
M.,Porcius,*20,16
M.,Porcius,*22,13
P.,Porcius,*6,19
L.,Porcius,*1,22
L.,Porcius,*2,23
L.,Porcius,*3,24
(A.?),Postumius,*48,8 see 6
A.,Postumius,not in *RE,9
C.,Postumius,*31,10
L.,Postumius,not in *RE,13
L.,Postumius,*45,15 cf 26
L.,Postumius,not in *RE,14
M.,Postumius,*12,16
M.,Postumius,*47,19
,Postumius,*37,43
A.,Postumius,*21,30
A.,Postumius,*33,31
A.,Postumius,*36,33 = 32
L.,Postumius,*20,39
L.,Postumius,*22,40
L.,Postumius,*32,42
Sp.,Postumius,*25,44
Sp.,Postumius,*35,45
Sp.,Postumius,*17,"22.892, no. 1"
A.,Postumius,*26,46
Sp.,Postumius,*34,47
Sp.,Postumius,*28,49
A.,Postumius,*13,57
L.,Postumius,*15,58
M.,Postumius,*11,16
P.,Postumius,*10,51
Sp.,Postumius,*14,61
A.,Postumius,*3,63
A.,Postumius,*5,52a
Sp.,Postumius,*4,52b
Sp.,Postumius,*7,52
,Postumius,*3 ?,"22.892, no. 1"
L.,Postumius,*19,55
