Person ID;Date Source Text;Date Start;Start Uncertain;Date End;End Uncertain;Note Ref;Praenomen;Nomen;RE;Filiation;Cognomen;Other Names;Original Name Text;Review Later;Location;
0;47;47;0;47;0;454;A.;Licinius;132;;Nerva;;Licinius Nerva, A.;;Rome;
0;80;80;0;80;0;381;A.;Manlius;13, 70;A. f.;;;Manlius, A.;;Rome;
0;118 - 107;118;0;107;0;309;A.;Manlius;63;Q. f.;Ser[gianus];;Manlius, A.;;Rome;
0;55;55;0;55;0;431;A.;Plautius;8;;;;Plautius, A.;;Rome;
0;81;81;0;81;0;372;A.;Postumius;36;A. f. S. n.;Albinus;;Postumius Albinus, A.;;Rome;
0;139;139;0;139;0;230;A.;Spuri[us] or Spuri[lius];Spurius 2;;;;Spuri[us], A.;;Rome;
0;211 - 208;211;0;208;0;111;-.;Aelius;?;;;;Aelius;1;;
0;48;48;0;48;0;450, 451;D.;Iunius;55a, Supb. 5.369;;Brutus;Albinus;Iunius Brutus Albinus, D.;;Rome;
0;189 - 180;189;0;180;0;146;L.;Autronius;1, 2;;;;Autronius, L.;;Rome;
0;169 - 158;169;0;158;0;179;;;?;;Balbus;;Balbus;1;Rome;
0;44;44;0;44;0;480;C.;Cossutius;4;;Maridianus;;Cossutius Maridianus, C.;;Rome;
0;209 - 208;209;0;208;0;74;C.;(Terentius);76;;Varro;;(Terentius) Varro, C.;;Sicily;
0;134;134;0;134;0;244;C.;Aburius;cf. 1;;Geminus;;Aburius Geminus, C.;;Rome;
0;209 - 208;209;0;208;0;75;C.;Aelius;?;;;;Aelius, C.;1;Sicily;
0;92;92;0;92;0;336;C.;Allius;2;;Bala;;Allius Bala, C.;;Rome;
0;146;146;0;146;0;219;C.;Antestius;10;;;;Antestius, C.;;Rome;
0;47;47;0;47;0;455;C.;Antius;13;;Restio;;Antius Restio, C.;;Rome;
0;135;135;0;135;0;242;C.;Minucius;31;;Augurinus;;Minucius Augurinus, C.;;Rome;
0;126;126;0;126;0;266;C.;Cassius;57?;;;;Cassius, C.;1;Rome;
0;45;45;0;45;0;476;C.;Clovius;4;;;;Clovius, C.;;;
0;104;104;0;104;0;318;C.;Coelius;12, 13;;Caldus;;Coelius Caldus, C.;;Rome;
0;57;57;0;57;0;424;C.;Considius;12;;Nonianus;;Considius Nonianus, C.;;Rome;
0;46;46;0;46;0;465;C.;Considius;14;;Paetus;;Considius Paetus, C.;;Rome;
0;142;142;0;142;0;223;C.;Curiatius;10;;Trigeminus;;Curiatius Trigeminus, C.;;Rome;
0;135;135;0;135;0;240;C.;Curiatius;11;;Trigeminus;;Curiatius, C.;;Rome;
0;102;102;0;102;0;322;C.;Fabius;15, 82;;Hadrianus;;Fabius, C;;Rome;
0;114 - 113;114;0;113;0;290;C.;Fonteius;6, ?2;;;;Fonteius, C.;1;Rome;
0;68;68;0;68;0;407;C.;Hosidius;4;C. f.;Geta;;Hosidius Geta, C.;;Rome;
0;149;149;0;149;0;210;C.;Iunius;14;C. f.;;;Iunius, C.;;Rome;
0;153;153;0;153;0;203;C.;Maianius;1;;;;Maianius, C.;;Rome;
0;99 - 96;99;0;96;0;335;C.;Publicius;18;;Malleolus;;Publicius Malleolus, C.;;Rome;
0;118;118;0;118;0;282;C.;(Publicius);18;C. f.;Malleolus;;Malleolus, C.;;Narbo;
0;82;82;0;82;0;360, 362;C.;Mamilius;2?;;Limetanus;;Mamilius Limetanus, C.;1;Rome;
0;81;81;0;81;0;378;C.;Marius;33;;Capito;;Marius Capito, C.;;Rome;
0;125;125;0;125;0;269;C.;Caecilius;84;;Metellus;Caprarius;Caecilius Metellus Caprarius, C.;;Rome;
0;79;79;0;79;0;382;C.;Naevius;10;;Balbus;;Naevius Balbus, C.;;Rome;
0;83;83;0;83;0;357;C.;Norbanus;6, 9a;;;;Norbanus, C.;;Rome;
0;133;133;0;133;0;246;C.;Numitorius;1;;;;Numitorius, C.;;Rome;
0;41;41;0;41;0;514;C.;Numonius;1;;Vaala;;Numonius Vaala, C.;;Rome;
0;121;121;0;121;0;278;C.;Plutius;1;;;;Plautius, C.;;Rome;
0;74;74;0;74;0;394;C.;Postumius;12;;;;Postumius, C.;;Rome;
0;138;138;0;138;0;231;C.;Renius;1;;;;Renius, C.;;Rome;
0;169 - 158;169;0;158;0;175;C.;Sae[nius];not in RE;;;;Sae[nius], C.;;Rome;
0;57;57;0;57;0;423;C.;Servilius;16;C. f.;;;Servilius, C.;;Rome;
0;127;127;0;127;0;264, 370;C.;Servilius;13, 91;;Vatia;;Servilius Vatia, C.;;Rome;
0;136;136;0;136;0;239;C.;Servilius;14;M. f.;;;Servilius, C.;;Rome;
0;106;106;0;106;0;312;C.;Sulpicius;9;C. f.;;;Sulpicius, C;;Rome;
0;154;154;0;154;0;202;C.;(Iuventius);28;;Thalna;;(Iuventius) Thalna, C.;;Rome;
0;147;147;0;147;0;217;C.;Terentius;56;;Lucanus;;Terentius Lucanus, C.;;Rome;
0;141;141;0;141;0;226;C.;Titinius;6;;;;Titinius, C.;;Rome;
0;140;140;0;140;0;228;C.;Valerius;167;C. f.;Flaccus;;Valerius Flaccus, C.;;Rome;
0;42;42;0;42;0;494;C.;Vibius;20;;Varus;;Vibius Varus, C.;;Rome;
0;90;90;0;90;0;342;C.;Vibius;15;;Pansa;;Vibius Pansa, C.;;Rome;
0;115 - 114;115;0;114;0;288;;(Cornelius);97;;Cetegus;;Cetegus;;Rome;
0;169 - 158;169;0;158;0;178;(L).;(Cornelius);103, 105;;Cinna;;(Cornelius) Cinna, (L.);;Rome;
0;112 - 111;112;0;111;0;296;Cn.;Cornelius;75;;Blasio;;Cornelius Blasio, Cn.;;Rome;
0;189 - 180;189;0;180;0;153;Cn.;Calpurnius;11;;;;Calpurnius, Cn.;;Rome;
0;118 - 107;118;0;107;0;310;Cn.;Cornelius;cf. 373;;Sisenna;;Cornelius Sisenna, Cn.;;Rome;
0;128;128;0;128;0;261;Cn.;Domitius;cf. 20, Supb.3.349;;;;Domitius, Cn.;;Rome;
0;138;138;0;138;0;232;Cn.;Gellius;4;;;;Gellius, Cn.;;Rome;
0;136;136;0;136;0;237;Cn.;Lucretius;32;;Trio;;Lucretius Trio, Cn.;;Rome;
0;49;49;0;49;0;446;Cn.;(Calpurnius);95;;Piso;;Piso, Cn;;;
0;117 - 116;117;0;116;0;284;Cn.;Fulvius;14;;;;Fulvius, Cn.;;Rome;
0;43 - 42;43;0;42;0;506;;(Pedanius);2;;Costa;;(Pedanius) Costa;;;
0;91;91;0;91;0;337;D.;Iunius;162;;Silanus;;Iunius Silanus, D.;;Rome;
0;39;39;0;39;0;532;Cn.;Domitius;43 cf. 11, Supb.3.394;;Calvinus;;Domitius Calvinus, Cn.;;Osca;
0;56;56;0;56;0;426;Faustus.;Cornelius;377;;Sulla;;Cornelius Sulla, Faustus;;Rome;
0;150;150;0;150;0;207;;(Decimius);9 Decimius;;Flavus;;(Decimius) Flavus;;Rome;
0;86;86;0;86;0;350A;C.;Gargonius;4;;;;Gargonius, C.;;Rome;
0;44;44;0;44;0;480;L.;Aemilius;37;;Buca;;Aemilius Buca, L. ;;Rome;
0;194 - 190;194;0;190;0;134;L.;Pl[autius];cf. 19;;H[ypsaeus];;Pl[autius] H[ypsaeus], L.;;Rome;
0;136;136;0;136;0;238;L.;Antestius;33;;Gragulus;;Antestius Gragulus, L.;;Rome;
0;141;141;0;141;0;225;L.;Atilius;44;;Nomentanus;;Atilius Nomentanus, L. ;;Rome;
0;71;71;0;71;0;400;L.;Axius;7;;Naso;;Axius Naso, L.;;Rome;
0;87;87;0;87;0;349;C.;Memmius;14;L. f.;Gal.;;Memmius Gal., C.;;Rome;
0;112 - 111;112;0;111;0;298;L.;Caesius;4;;;;Caesius, L.;;Rome;
0;102;102;0;102;0;321;L.;Cassius;32;;Caecianus;;Cassius Caecianus, L.;;Rome;
0;78;78;0;78;0;386;L.;Cassius;64;Q. f.;Longinus;;Cassius Longinus, L.;;Rome;
0;82;82;0;82;0;360, 363;L.;Marcius;47;;Censorinus;;Marcius Censorinus, L.;;Rome;
0;118;118;0;118;0;282;L.;Cosconius;6;;;;Cosconius, L.;;Narbo;
0;74;74;0;74;0;395;L.;Cossutius;6;;Sabula;;Cossutius Sabula, L.;;Rome;
0;105;105;0;105;0;314;L.;Aurelius;100, 101;;Cotta;;Aurelius Cotta, L.;;Rome;
0;147;147;0;147;0;218;L.;Cupiennius;3;;;;Cupiennius, L.;;Rome;
0;75;75;0;75;0;392;L.;Farsuleius;1;;Mensor;;Farsuleius Mensor, L.;;Rome;
0;63;63;0;63;0;414;L.;Furius;39;;Brocchus;;Furius Brocchus, L.;;Rome;
0;105;105;0;105;0;315;L.;Hostilius;cf. 26;;Tubulus;;Hostilius Tubulus, L.;;Rome;
0;149;149;0;149;0;209;L.;It[e]i[us] or or Itei[lius];Itius 1;;;;It[e]i[us], L.;;Rome;
0;101;101;0;101;0;323;L.;Iulius;30;;;;Iulius, L.;;Rome;
0;85;85;0;85;0;352;L.;Iulius;126;;Bursio;;Iulius Bursio, L.;;Rome;
0;76;76;0;76;0;390;L.;Lucretius;33;;Trio;;Lucretius Trio, L.;;Rome;
0;189 - 180;189;0;180;0;149;L.;Mamilius;2;;;;Mamilius, L.;;Rome;
0;109 - 108;109;0;108;0;304;L.;Memmius;12, 13;;;;Memmius, L. ;;Rome;
0;106;106;0;106;0;313;L.;Memmius;cf. 14;;Gal.;;Memmius Gal., L.;;Rome;
0;133;133;0;133;0;248;L.;Minucius;16;;;;Minucius, L.;;Rome;
0;42;42;0;42;0;494;L.;Mussidius;3;;Longus;;Mussidius Longus, L.;;Rome;
0;79;79;0;79;0;384;L.;Papius;6;;;;Papius, L.;;Rome;
0;45;45;0;45;0;472;L.;Papius;10;;Celsus;;Papius Celsus, L.;;Rome;
0;113 - 112;113;0;112;0;293;L.;Marcius;cf. 75;;Philippus;;Marcius Philippus, L.;;Rome;
0;97;97;0;97;0;334;L.;Pomponius;4, 22;;Molo;;Pomponius Molo, L.;;Rome;
0;118;118;0;118;0;282;L.;Pomponius;5;;;;Pomponius, L.;;Narbo;
0;118;118;0;118;0;282;L.;Porcius;25;;Licinus;;Porcius Licinus, L.;;Narbo;
0;131;131;0;131;0;252;L.;Postumius;43;;Albinus;;Postumius Albinus, L.;;Rome;
0;87;87;0;87;0;348;L.;Rubrius;17;;Dossenus;;Rubrius Dossenus, L.;;Rome;
0;76;76;0;76;0;389;L.;Rustius;1;;;;Rustius, L.;;Rome;
0;84;84;0;84;0;355;L.;Livius;31;;Salinator;;Livius Salinator, L.;;Rome;
0;152;152;0;152;0;204;L.;Saufeius;4;;;;Saufeius, L.;;Rome;
0;148;148;0;148;0;216;L.;Sempronius;74;;Pitio;;Sempronius Pitio, L.;;Rome;
0;41;41;0;41;0;515;L.;Servius;6;;Rufus;;Servius Rufus, L.;;Rome;
0;135;135;0;135;0;241;L.;Trebanius;1;;;;Trebanius, L.;;Rome;
0;108 - 107;108;0;107;0;306;L.;Valerius;176, 177;;Flaccus;;Valerius Flaccus, L.;;Rome;
0;45;45;0;45;0;474;L.;Valerius;94;;Acisculus;;Valerius Acisculus, L.;;Rome;
0;52;52;0;52;0;436;L.;Vinicius;1;;;;Vinicius, L.;;Rome;
0;81;81;0;81;0;377;L.;Volumnius;3, 14;;Strabo;;Volumnius Strabo, L.;;Rome;
0;83;83;0;83;0;358;;(Iuventius);not in RE;;Laterensis;;(Iuventius) Laterensis;;Rome;
0;43 - 42;43;0;42;0;500;L.;Cornelius;239;;Lentulus;Spinther;Cornelius Lentulus Spinther;;;
0;132;132;0;132;0;250;M.;Aburius;cf. 2;;Geminus;;Aburius Geminus, M. ;;Rome;
0;130;130;0;130;0;255;M.;Acilius;13;;;;Acilius, M.;;Rome;
0;43 - 42;43;0;42;0;498, 499;M.;Aquinus;5, cf. 2;;;;Aquinus, M.;;;
0;41;41;0;41;0;513;M.;Arrius;34;;Secundus;;Arrius Secundus, M.;;Rome;
0;148;148;0;148;0;214;M.;Atilius;67;;Saranus;;Atilius Saranus, M.;;Rome;
0;140;140;0;140;0;227;M.;Aufidius;1;;Rusticus;;Aufidius Rusticus, M.;;Rome;
0;139;139;0;139;0;229;M.;Aurelius;105;;Cotta;;Aurelius Cotta, M.;;Rome;
0;118;118;0;118;0;282;M.;Aurelius;cf. 215, 216;;Scaurus;;Aurelius Scaurus, M.;;Narbo;
0;137;137;0;137;0;236;M.;Baebius;not in RE;;Tampilus;;Baebius Tampilus, M.;;Rome;
0;117 - 116;117;0;116;0;284;M.;Calidius;3;;;;Calidius, M.;;Rome;
0;89;89;0;89;0;343;M.;Porcius;not in RE;;Cato;;Porcius Cato, M.;;Rome;
0;115 - 114;115;0;114;0;289;M.;Cipius;2;;;;Cipius, M.;;Rome;
0;132;132;0;132;0;251;M.;Fabrinius;1;;;;Fabrinius, M.;;Rome;
0;123;123;0;123;0;275;M.;Fannius;14;C. f.;;;Fannius C.f., M.;;Rome;
0;119;119;0;119;0;281;M.;Furius;79;;Philus;;Furius Philus, M.;;Rome;
0;101;101;0;101;0;324;M.;Lucilius;31;;Rufus;;Lucilius Rufus, M.;;Rome;
0;134;134;0;134;0;245;M.;Marcius;22;M'. f.;;;Marcius, M.;;Rome;
0;61;61;0;61;0;418;M.;Pupius;12;;Piso;;Pupius Piso, M.;;Rome;
0;125;125;0;125;0;270;M.;Porcius;17;;Laeca;;Porcius Laeca, M.;;Rome;
0;100;100;0;100;0;327;M.;Servilius;19;C. f.;;;Servilius, M.;;Rome;
0;189 - 180;189;0;180;0;150;M.;Titinius;12;;;;Titinius, M.;;Rome;
0;120;120;0;120;0;280;M.;Tullius;11;;;;Tullius, M.;;Rome;
0;130;130;0;130;0;257;M.;Vargunteius;4;;;;Vargunteius, M.;;Rome;
0;78;78;0;78;0;385;M.;Volteius;2;;;;Volteius, M.;;Rome;
0;179 - 170;179;0;170;0;162;;Matienus;1;;;;Matienus;;Rome;
0;194 - 190;194;0;190;0;132;;(Caecilius);?;;Metellus;;(Caecilius) Metellus;1;Rome;
0;53;53;0;53;0;435;M.;Valerius;254, 255;;Messalla;;Valerius Messalla, M.;;Rome;
0;49;49;0;49;0;442;M'.;Acilius;cf. 14;;;;Acilius, Mn.;;Rome;
0;114 - 113;114;0;113;0;291;M'.;Aemilius;cf. 62;;Lepidus;;Aemilius Lepidus, Mn.;;Rome;
0;71;71;0;71;0;401;Mn.;Aquillius;9;;;;Aquillius, Mn.;;Rome;
0;108 - 107;108;0;107;0;307;M'.;Fonteius;8, ?2;;;;Fonteius, Mn.;1;Rome;
0;85;85;0;85;0;353;M'.;Fonteius;9;C. f.;;;Fonteius, Mn.;;Rome;
0;169 - 158;169;0;158;0;186;(L).;(Licinius);120;;Murena;;(Licinius) Murena, (L.);;Rome;
0;126;126;0;126;0;268;N.;Fabius;125;;Pictor;;Fabius Pictor, N.;;Rome;
0;155;155;0;155;0;200;;(Pinarius);14;;Nat(ta);;(Pinarius) Nat(ta);;Rome;
0;149;149;0;149;0;208;;(Pinarius);14;;Natta;;(Pinarius) Natta;;Rome;
0;86;86;0;86;0;350A;;Ogul[nius];1;;;;Ogul[nius];;Rome;
0;169 - 158;169;0;158;0;190;;Opei[mius];?;;;;Opei[mius];1;;
0;169 - 158;169;0;158;0;188;;Opeimi[us];?;;;;Opeimi[us];1;Rome;
0;138;138;0;138;0;233;P.;(Aelius);102;;Paetus;;(Aelius) Paetus, P.;;Rome;
